region,class_code,class,area_ha,pct,indicator
Beni Mellal-Khenifra,-1,Degraded,2205651.374714816,76.33161088878612,Productivity
Beni Mellal-Khenifra,0,Stable,683913.4451976228,23.668389111213887,Productivity
Casablanca-Settat,-1,Degraded,1806593.5386053827,89.66817722483215,Productivity
Casablanca-Settat,0,Stable,208160.85310659243,10.331822775167856,Productivity
Dakhla-Oued Eddahab,-1,Degraded,2730594.595011495,21.261503000308018,Productivity
Dakhla-Oued Eddahab,0,Stable,10112310.231481424,78.73849699969198,Productivity
Daraa-Tafilelt,-1,Degraded,784957.861600834,9.677847664553987,Productivity
Daraa-Tafilelt,0,Stable,7325914.3985176515,90.32215233544602,Productivity
Fes-Meknes,-1,Degraded,2510467.6337069953,65.3178953022163,Productivity
Fes-Meknes,0,Stable,1332993.0627704868,34.68210469778369,Productivity
Guelmim-Oued Noun,-1,Degraded,3195540.5217250185,64.01155022139241,Productivity
Guelmim-Oued Noun,0,Stable,1796590.6025374294,35.98844977860758,Productivity
Laayoune-Saguia Hamra,-1,Degraded,3656593.448789821,26.429297938147524,Productivity
Laayoune-Saguia Hamra,0,Stable,10178785.218276348,73.57070206185249,Productivity
Marrakech-Safi,-1,Degraded,3506147.3949684817,86.91292841483838,Productivity
Marrakech-Safi,0,Stable,527944.4932181877,13.087071585161626,Productivity
Oriental,-1,Degraded,4571679.563183892,68.55015485996188,Productivity
Oriental,0,Stable,2097422.1660874374,31.44984514003812,Productivity
Rabat-Sale-Kenitra,-1,Degraded,1155605.4511935432,69.05239677504517,Productivity
Rabat-Sale-Kenitra,0,Stable,517914.23119808553,30.947603224954833,Productivity
Souss Massa,-1,Degraded,3272446.9767865706,62.44210234734255,Productivity
Souss Massa,0,Stable,1968323.0385840628,37.55789765265745,Productivity
Tanger-Tetouan-Hoceima,-1,Degraded,464725.76517845684,30.478780678720547,Productivity
Tanger-Tetouan-Hoceima,0,Stable,1060026.06159956,69.52121932127945,Productivity
Beni Mellal-Khenifra,-1,Degraded,15707.950287916667,0.5433872205237061,Land cover
Beni Mellal-Khenifra,0,Stable,2463364.9851402775,85.21551366510776,Land cover
Beni Mellal-Khenifra,1,Improved,411674.1588405386,14.241099114368533,Land cover
Casablanca-Settat,-1,Degraded,16499.466449117655,0.8170104754406018,Land cover
Casablanca-Settat,0,Stable,1814144.0074767559,89.83167198994883,Land cover
Casablanca-Settat,1,Improved,188849.1696928922,9.35131753461057,Land cover
Dakhla-Oued Eddahab,-1,Degraded,245.46396715686274,0.0018984092249629513,Land cover
Dakhla-Oued Eddahab,0,Stable,12929645.29767363,99.99739755251572,Land cover
Dakhla-Oued Eddahab,1,Improved,91.03201875,0.0007040382593163379,Land cover
Daraa-Tafilelt,-1,Degraded,490885.43260946055,6.0511781821657795,Land cover
Daraa-Tafilelt,0,Stable,7566913.572722068,93.2778593045326,Land cover
Daraa-Tafilelt,1,Improved,54430.0157244608,0.6709625133016216,Land cover
Fes-Meknes,-1,Degraded,192871.44491475512,5.005746204544024,Land cover
Fes-Meknes,0,Stable,3499879.814333439,90.83516797783669,Land cover
Fes-Meknes,1,Improved,160249.61282306357,4.159085817619299,Land cover
Guelmim-Oued Noun,-1,Degraded,167485.69903149514,3.3179732677609,Land cover
Guelmim-Oued Noun,0,Stable,4875895.660287149,96.59386771990548,Land cover
Guelmim-Oued Noun,1,Improved,4450.118375,0.08815901233361421,Land cover
Laayoune-Saguia Hamra,-1,Degraded,5048.865231250001,0.036305613081352814,Land cover
Laayoune-Saguia Hamra,0,Stable,13879628.404034803,99.80627239382346,Land cover
Laayoune-Saguia Hamra,1,Improved,21891.998512500006,0.15742199309518884,Land cover
Marrakech-Safi,-1,Degraded,152016.45050460825,3.759418800220606,Land cover
Marrakech-Safi,0,Stable,3281454.6929089087,81.15149658898213,Land cover
Marrakech-Safi,1,Improved,610144.6010118658,15.089084610797265,Land cover
Oriental,-1,Degraded,737208.2833210793,11.009339078360785,Land cover
Oriental,0,Stable,5871477.503639737,87.68361423902205,Land cover
Oriental,1,Improved,87522.56918007352,1.3070466826171743,Land cover
Rabat-Sale-Kenitra,-1,Degraded,31361.636790857832,1.8692075225143698,Land cover
Rabat-Sale-Kenitra,0,Stable,1526156.8882379602,90.96157687991283,Land cover
Rabat-Sale-Kenitra,1,Improved,120285.37919855387,7.169215597572784,Land cover
Souss Massa,-1,Degraded,303936.5611797294,5.789774152804449,Land cover
Souss Massa,0,Stable,4889696.731488803,93.1452262312244,Land cover
Souss Massa,1,Improved,55907.590243259794,1.0649996159711632,Land cover
Tanger-Tetouan-Hoceima,-1,Degraded,65534.0819371568,4.200803909617201,Land cover
Tanger-Tetouan-Hoceima,0,Stable,1437702.921075648,92.15827662794106,Land cover
Tanger-Tetouan-Hoceima,1,Improved,56799.67918330875,3.640919462441744,Land cover
Beni Mellal-Khenifra,-1,Degraded,5017.865675735294,0.1736496904947483,Soil organic carbon
Beni Mellal-Khenifra,0,Stable,2475554.553483706,85.66974681966113,Soil organic carbon
Beni Mellal-Khenifra,1,Improved,409076.08032178844,14.156603489844134,Soil organic carbon
Casablanca-Settat,-1,Degraded,2934.3741099999997,0.1454880374985012,Soil organic carbon
