region,class,male,female,total,pct_male,pct_female,pct_total
Laayoune-Saguia Hamra,Degraded,808.3038981687067,688.7178326227533,1497.0217307914602,36.834042623526535,35.45007420731326,36.18415143849551
Rabat-Sale-Kenitra,Degraded,14673.137651033385,14852.363467703148,29525.50111873656,70.68506710596932,70.78311720804238,70.73435577143435
Beni Mellal-Khenifra,Degraded,10753.306938082014,11195.611824240268,21948.918762322268,91.56683253723428,91.91386590388572,91.7435177851132
Dakhla-Oued Eddahab,Degraded,43.34223766057094,30.30506212698824,73.64729978755915,36.591151495812575,37.22906065808415,36.850978409552894
Tanger-Tetouan-Hoceima,Degraded,6811.298923058442,6643.125449067832,13454.424372126272,41.88561139448974,42.182788028585215,42.03181728769387
Marrakech-Safi,Degraded,18553.896567193675,18361.23957342525,36915.136140618895,85.08019748283652,84.8932432276828,84.98710539099456
Daraa-Tafilelt,Degraded,2987.61235981695,3131.5698155377586,6119.182175354708,41.919391032091724,42.06910058268638,41.99587345073869
Guelmim-Oued Noun,Degraded,912.9335003628228,973.6172631681728,1886.5507635309948,76.36487347374886,76.62694614398661,76.4999005476982
Fes-Meknes,Degraded,16018.340225458353,16376.39359146432,32394.73381692269,78.24697920089203,78.43473048637172,78.34177995611918
Oriental,Degraded,9968.171977616934,10182.888755131396,20151.060732748327,91.91240625847253,91.9130283533354,91.91272061917337
Casablanca-Settat,Degraded,28623.78505897902,28472.205986666435,57095.99104564548,87.27612855778251,87.08477437604328,87.18060047013651
Souss Massa,Degraded,11217.940133430136,11556.994538556924,22774.934671987085,91.50352775429744,90.96108418048273,91.22746214883492
Laayoune-Saguia Hamra,Stable,1385.9532677600364,1253.9172923407195,2639.8705601007573,63.157262824722906,64.54234079293865,63.807675039032695
Rabat-Sale-Kenitra,Stable,6012.301547404866,6056.914305413821,12069.21585281869,28.96312625471118,28.865929394433003,28.914266504142713
Beni Mellal-Khenifra,Stable,922.5007432217494,917.508523717218,1840.009266938968,7.855301774276931,7.532572291585259,7.690990373337541
Dakhla-Oued Eddahab,Stable,75.10781348234252,51.09656765173036,126.20438113407286,63.408848504187425,62.77093934191584,63.14902159044711
Tanger-Tetouan-Hoceima,Stable,9200.508263746122,8866.642106631673,18067.150370377796,56.57788890492879,56.301764489763606,56.44204034847156
Marrakech-Safi,Stable,3068.8876103404305,3091.246901681594,6160.134512022025,14.07259995197259,14.29238881459251,14.182041724068295
Daraa-Tafilelt,Stable,3999.642688526409,4168.885508204797,8168.528196731206,56.11925700403041,56.00426434441618,56.06051047317109
Guelmim-Oued Noun,Stable,282.48900792307865,296.9049649471908,579.3939728702692,23.629582372864384,23.367417176703103,23.494507627005152
Fes-Meknes,Stable,4255.094321116596,4301.145752259186,8556.240073375782,20.78544169720412,20.60033584176248,20.691976691902024
Oriental,Stable,857.3858356122781,876.5602176825843,1733.9460532948624,7.9056014904244485,7.912028313249074,7.908849131014102
Casablanca-Settat,Stable,4144.1981288179,4195.017687791526,8339.215816609429,12.635979759992438,12.830834710029727,12.73325550581746
Souss Massa,Stable,1008.1601605322614,1113.991644339425,2122.151804871687,8.223453694063634,8.767840756439908,8.500508398434071
Laayoune-Saguia Hamra,Improved,0.1907974138117495,0.1473600465940156,0.3381574604057651,0.00869455175055185,0.007584999748093365,0.008173522471788194
Rabat-Sale-Kenitra,Improved,73.02967170623758,73.64026375018923,146.66993545642683,0.35180663931948875,0.35095339752460875,0.35137772442292603
Beni Mellal-Khenifra,Improved,67.86264136393864,67.42685690876668,135.28949827270532,0.5778656884888004,0.5535618045290195,0.5654918415492717
Dakhla-Oued Eddahab,Improved,0.0,0.0,0.0,0.0,0.0,0.0
Tanger-Tetouan-Hoceima,Improved,249.86047493213397,238.65913569441065,488.5196106265445,1.5364997005814445,1.5154474816511756,1.5261423638345724
Marrakech-Safi,Improved,184.75402304024516,176.13657582383698,360.890598864082,0.8472025651908716,0.8143679577246958,0.8308528849371505
Daraa-Tafilelt,Improved,139.78636676154886,143.41624033495637,283.20260709650523,1.9613519638778647,1.926635072897437,1.9436160760902153
Guelmim-Oued Noun,Improved,0.066279732129153,0.0716193005150439,0.137899032644197,0.005544153386752913,0.0056366793102849136,0.00559182529663827
Fes-Meknes,Improved,198.07807799898535,201.4685777861744,399.54665578515977,0.9675791019038481,0.9649336718657989,0.9662433519787973
Oriental,Improved,19.73759725631452,19.38167563986545,39.11927289617996,0.18199225110301442,0.17494333341552018,0.17843024981253208
Casablanca-Settat,Improved,28.82566701862828,27.591453293051707,56.41712031168,0.08789168222504005,0.08439091392699871,0.0861440240460335
Souss Massa,Improved,33.470903721057326,34.44124541554381,67.91214913660113,0.27301855163891803,0.2710750630773533,0.27202945273101703
