region,class_code,class,area_ha,pct,indicator
Beni Mellal-Khenifra,-1,Degraded,2243330.587979963,77.63558624886433,Status
Beni Mellal-Khenifra,0,Stable,594997.7329787511,20.591257509730507,Status
Beni Mellal-Khenifra,1,Improved,51236.498953725444,1.7731562414051687,Status
Casablanca-Settat,-1,Degraded,1822543.6454503108,90.46527292215684,Status
Casablanca-Settat,0,Stable,187602.13089759726,9.311973414077581,Status
Casablanca-Settat,1,Improved,4487.669812769606,0.2227536637655767,Status
Dakhla-Oued Eddahab,-1,Degraded,4332874.419386348,33.73982507107557,Status
Dakhla-Oued Eddahab,0,Stable,8509052.579983061,66.25946606822568,Status
Dakhla-Oued Eddahab,1,Improved,91.03201875,0.0007088606987429988,Status
Daraa-Tafilelt,-1,Degraded,1265254.6373650238,15.599489139858841,Status
Daraa-Tafilelt,0,Stable,6274109.77961889,77.35431626101273,Status
Daraa-Tafilelt,1,Improved,571507.8431346829,7.046194599128434,Status
Fes-Meknes,-1,Degraded,2714967.8488147086,70.63862657169811,Status
Fes-Meknes,0,Stable,1028472.8579656064,26.759031487123075,Status
Fes-Meknes,1,Improved,100019.98969715694,2.602341941178823,Status
Guelmim-Oued Noun,-1,Degraded,3436658.7739315554,68.845133411646,Status
Guelmim-Oued Noun,0,Stable,1548024.7434627279,31.010925727228777,Status
Guelmim-Oued Noun,1,Improved,7185.339018161765,0.1439408611252204,Status
Laayoune-Saguia Hamra,-1,Degraded,4617769.262458797,33.37825253993774,Status
Laayoune-Saguia Hamra,0,Stable,9160036.907769322,66.21076277420497,Status
Laayoune-Saguia Hamra,1,Improved,56858.35252825994,0.41098468585728776,Status
Marrakech-Safi,-1,Degraded,3568115.338409279,88.45459361689232,Status
Marrakech-Safi,0,Stable,398113.5828179653,9.869348897568852,Status
Marrakech-Safi,1,Improved,67609.44997507348,1.6760574855388157,Status
Oriental,-1,Degraded,4800941.12501904,71.98870270374479,Status
Oriental,0,Stable,1781001.3921331645,26.705593006563166,Status
Oriental,1,Improved,87077.68283161764,1.305704289692043,Status
Rabat-Sale-Kenitra,-1,Degraded,1241597.3880717289,74.19471461957411,Status
Rabat-Sale-Kenitra,0,Stable,410403.677330241,24.524684097178433,Status
Rabat-Sale-Kenitra,1,Improved,21429.97943443626,1.280601283247452,Status
Souss Massa,-1,Degraded,3546014.3759470163,67.66282087783573,Status
Souss Massa,0,Stable,1656538.8719147427,31.609035126262008,Status
Souss Massa,1,Improved,38159.93840828431,0.7281439959022784,Status
Tanger-Tetouan-Hoceima,-1,Degraded,674964.549195436,44.270849673503896,Status
Tanger-Tetouan-Hoceima,0,Stable,775032.675466343,50.83430694030295,Status
Tanger-Tetouan-Hoceima,1,Improved,74628.01784718139,4.894843386193168,Status
