region,class_code,class,area_ha,pct,indicator,year
Beni Mellal-Khenifra,-1,Degraded,1487590.4765426202,51.48147106067313,SDG 15.3.1 2017,2017
Beni Mellal-Khenifra,0,Stable,1361610.1456799782,47.121633551768966,SDG 15.3.1 2017,2017
Beni Mellal-Khenifra,1,Improved,40364.197689852925,1.3968953875579053,SDG 15.3.1 2017,2017
Casablanca-Settat,-1,Degraded,1474293.966701338,74.16398075238338,SDG 15.3.1 2017,2017
Casablanca-Settat,0,Stable,511184.0541861496,25.714983043993552,SDG 15.3.1 2017,2017
Casablanca-Settat,1,Improved,2406.059423235294,0.1210362036230607,SDG 15.3.1 2017,2017
Dakhla-Oued Eddahab,-1,Degraded,1518524.571601351,11.941198712726994,SDG 15.3.1 2017,2017
Dakhla-Oued Eddahab,0,Stable,11196523.044369802,88.04592896607157,SDG 15.3.1 2017,2017
Dakhla-Oued Eddahab,1,Improved,1636.93248125,0.012872321201434625,SDG 15.3.1 2017,2017
Daraa-Tafilelt,-1,Degraded,964560.652455955,11.892193854398712,SDG 15.3.1 2017,2017
Daraa-Tafilelt,0,Stable,6365905.445800835,78.48607697968781,SDG 15.3.1 2017,2017
Daraa-Tafilelt,1,Improved,780406.1618618177,9.621729165913477,SDG 15.3.1 2017,2017
Fes-Meknes,-1,Degraded,2271981.303194431,59.12432154608877,SDG 15.3.1 2017,2017
Fes-Meknes,0,Stable,1450282.2485044964,37.74104737244242,SDG 15.3.1 2017,2017
Fes-Meknes,1,Improved,120455.0517160295,3.134631081468812,SDG 15.3.1 2017,2017
Guelmim-Oued Noun,-1,Degraded,338670.98485985474,6.859985225660402,SDG 15.3.1 2017,2017
Guelmim-Oued Noun,0,Stable,4400231.845126562,89.12935207466825,SDG 15.3.1 2017,2017
Guelmim-Oued Noun,1,Improved,198002.62562629933,4.010662699671355,SDG 15.3.1 2017,2017
Laayoune-Saguia Hamra,-1,Degraded,392123.30152169114,2.8588339243377,SDG 15.3.1 2017,2017
Laayoune-Saguia Hamra,0,Stable,13231628.200563129,96.46717608262507,SDG 15.3.1 2017,2017
Laayoune-Saguia Hamra,1,Improved,92445.7972225736,0.6739899930372226,SDG 15.3.1 2017,2017
Marrakech-Safi,-1,Degraded,2445582.554620936,61.20428704409897,SDG 15.3.1 2017,2017
Marrakech-Safi,0,Stable,1469539.1426944775,36.7773704232826,SDG 15.3.1 2017,2017
Marrakech-Safi,1,Improved,80648.32588384816,2.018342532618434,SDG 15.3.1 2017,2017
Oriental,-1,Degraded,2161966.3244402795,32.42777370140106,SDG 15.3.1 2017,2017
Oriental,0,Stable,3977097.032973198,59.65328928384563,SDG 15.3.1 2017,2017
Oriental,1,Improved,527957.1551506356,7.918937014753313,SDG 15.3.1 2017,2017
Rabat-Sale-Kenitra,-1,Degraded,1197869.6668412844,72.06465422391372,SDG 15.3.1 2017,2017
Rabat-Sale-Kenitra,0,Stable,447510.19576958026,26.922517876966793,SDG 15.3.1 2017,2017
Rabat-Sale-Kenitra,1,Improved,16835.379717720585,1.0128278991194921,SDG 15.3.1 2017,2017
Souss Massa,-1,Degraded,1240628.3783655884,23.79946002867631,SDG 15.3.1 2017,2017
Souss Massa,0,Stable,3718335.690054165,71.33028969176709,SDG 15.3.1 2017,2017
Souss Massa,1,Improved,253878.478725171,4.870250279556599,SDG 15.3.1 2017,2017
Tanger-Tetouan-Hoceima,-1,Degraded,770505.2362616606,50.60850251948714,SDG 15.3.1 2017,2017
Tanger-Tetouan-Hoceima,0,Stable,702518.2966499943,46.14296868181601,SDG 15.3.1 2017,2017
Tanger-Tetouan-Hoceima,1,Improved,49458.25948078428,3.248528798696844,SDG 15.3.1 2017,2017
Beni Mellal-Khenifra,-1,Degraded,670904.6604493133,23.21751799811497,SDG 15.3.1 2018,2018
Beni Mellal-Khenifra,0,Stable,2171251.8986503463,75.13896236999574,SDG 15.3.1 2018,2018
Beni Mellal-Khenifra,1,Improved,47491.940381568595,1.643519631889301,SDG 15.3.1 2018,2018
Casablanca-Settat,-1,Degraded,560001.6710088217,28.164338982045642,SDG 15.3.1 2018,2018
Casablanca-Settat,0,Stable,1425723.3041205066,71.70434752366934,SDG 15.3.1 2018,2018
Casablanca-Settat,1,Improved,2610.9533858578434,0.13131349428502279,SDG 15.3.1 2018,2018
Dakhla-Oued Eddahab,-1,Degraded,1594572.8107920142,12.539036428217862,SDG 15.3.1 2018,2018
Dakhla-Oued Eddahab,0,Stable,11120386.74607914,87.44595013864496,SDG 15.3.1 2018,2018
Dakhla-Oued Eddahab,1,Improved,1909.2385937499998,0.015013433137179755,SDG 15.3.1 2018,2018
Daraa-Tafilelt,-1,Degraded,674302.4214097281,8.313562336880747,SDG 15.3.1 2018,2018
Daraa-Tafilelt,0,Stable,6619503.116892838,81.61271568091551,SDG 15.3.1 2018,2018
Daraa-Tafilelt,1,Improved,817066.7218160329,10.073721982203743,SDG 15.3.1 2018,2018
Fes-Meknes,-1,Degraded,1253749.990496855,32.62104454873926,SDG 15.3.1 2018,2018
Fes-Meknes,0,Stable,2453251.5732767363,63.83061173895647,SDG 15.3.1 2018,2018
Fes-Meknes,1,Improved,136376.2551788972,3.548343712304259,SDG 15.3.1 2018,2018
Guelmim-Oued Noun,-1,Degraded,425851.70624789293,8.625539750350802,SDG 15.3.1 2018,2018
Guelmim-Oued Noun,0,Stable,4332499.456441562,87.7538958553717,SDG 15.3.1 2018,2018
Guelmim-Oued Noun,1,Improved,178750.96162193638,3.620564394277501,SDG 15.3.1 2018,2018
Laayoune-Saguia Hamra,-1,Degraded,425226.8903437256,3.100121439758048,SDG 15.3.1 2018,2018
Laayoune-Saguia Hamra,0,Stable,13194223.564567726,96.19263570187998,SDG 15.3.1 2018,2018
Laayoune-Saguia Hamra,1,Improved,97008.67763507362,0.7072428583619708,SDG 15.3.1 2018,2018
Marrakech-Safi,-1,Degraded,1204630.6820838982,30.144512550593667,SDG 15.3.1 2018,2018
Marrakech-Safi,0,Stable,2653867.917978722,66.41002587011626,SDG 15.3.1 2018,2018
Marrakech-Safi,1,Improved,137687.04089634784,3.445461579290069,SDG 15.3.1 2018,2018
Oriental,-1,Degraded,1743335.1755018402,26.146073220731534,SDG 15.3.1 2018,2018
Oriental,0,Stable,4373169.51717316,65.58762308559861,SDG 15.3.1 2018,2018
Oriental,1,Improved,551170.2609755121,8.266303693669856,SDG 15.3.1 2018,2018
Rabat-Sale-Kenitra,-1,Degraded,515766.9044594324,31.022503893568953,SDG 15.3.1 2018,2018
Rabat-Sale-Kenitra,0,Stable,1123751.865093894,67.59176734462754,SDG 15.3.1 2018,2018
Rabat-Sale-Kenitra,1,Improved,23038.534747156853,1.3857287618035072,SDG 15.3.1 2018,2018
Souss Massa,-1,Degraded,1076179.4114357429,20.6444799918571,SDG 15.3.1 2018,2018
Souss Massa,0,Stable,3901604.372668964,74.84494922668004,SDG 15.3.1 2018,2018
Souss Massa,1,Improved,235132.26832298987,4.5105707814628415,SDG 15.3.1 2018,2018
Tanger-Tetouan-Hoceima,-1,Degraded,549200.0720682589,36.05285029629333,SDG 15.3.1 2018,2018
Tanger-Tetouan-Hoceima,0,Stable,913531.8628949677,59.969816409187864,SDG 15.3.1 2018,2018
Tanger-Tetouan-Hoceima,1,Improved,60587.49069872553,3.9773332945188105,SDG 15.3.1 2018,2018
Beni Mellal-Khenifra,-1,Degraded,510242.70096357696,17.657604412965135,SDG 15.3.1 2019,2019
Beni Mellal-Khenifra,0,Stable,2325836.7054421054,80.48856827602607,SDG 15.3.1 2019,2019
Beni Mellal-Khenifra,1,Improved,53569.09307553917,1.8538273110088108,SDG 15.3.1 2019,2019
Casablanca-Settat,-1,Degraded,440207.91587563546,22.13900259486444,SDG 15.3.1 2019,2019
