region,class_code,class,area_ha,pct,indicator
Beni Mellal-Khenifra,-1,Degraded,2188011.1340671442,75.72875844746316,Productivity
Beni Mellal-Khenifra,0,Stable,701262.6093880287,24.271241552536843,Productivity
Casablanca-Settat,-1,Degraded,1763117.5843096373,88.61231989468028,Productivity
Casablanca-Settat,0,Stable,226580.44685034317,11.387680105319715,Productivity
Dakhla-Oued Eddahab,-1,Degraded,2763916.0744255073,21.741063253910806,Productivity
Dakhla-Oued Eddahab,0,Stable,9948967.569516474,78.25893674608919,Productivity
Daraa-Tafilelt,-1,Degraded,832527.3326201313,10.266075483066954,Productivity
Daraa-Tafilelt,0,Stable,7276972.095796469,89.73392451693303,Productivity
Fes-Meknes,-1,Degraded,2493725.0039038146,64.96201713594002,Productivity
Fes-Meknes,0,Stable,1345018.1784167509,35.037982864059984,Productivity
Guelmim-Oued Noun,-1,Degraded,3132578.6590681365,63.450899842619094,Productivity
Guelmim-Oued Noun,0,Stable,1804433.5296290305,36.549100157380906,Productivity
Laayoune-Saguia Hamra,-1,Degraded,3652831.822102246,26.64674194983222,Productivity
Laayoune-Saguia Hamra,0,Stable,10055530.08187621,73.3532580501678,Productivity
Marrakech-Safi,-1,Degraded,3451986.1502295113,86.43529313995677,Productivity
Marrakech-Safi,0,Stable,541736.8127273278,13.564706860043222,Productivity
Oriental,-1,Degraded,4545321.346656455,68.2330008232293,Productivity
Oriental,0,Stable,2116149.3373487573,31.766999176770703,Productivity
Rabat-Sale-Kenitra,-1,Degraded,1138797.4443384076,68.52843385254097,Productivity
Rabat-Sale-Kenitra,0,Stable,522990.78036969586,31.471566147459026,Productivity
Souss Massa,-1,Degraded,3246880.6393509563,62.28420780967254,Productivity
Souss Massa,0,Stable,1966127.205707845,37.715792190327456,Productivity
Tanger-Tetouan-Hoceima,-1,Degraded,460434.18127497396,30.368170717188818,Productivity
Tanger-Tetouan-Hoceima,0,Stable,1055739.399158574,69.63182928281118,Productivity
Beni Mellal-Khenifra,-1,Degraded,18218.22239503677,0.6302061117819769,Land cover
Beni Mellal-Khenifra,0,Stable,2465165.5749302898,85.27519195829117,Land cover
Beni Mellal-Khenifra,1,Improved,407451.7649517109,14.094601929926842,Land cover
Casablanca-Settat,-1,Degraded,16622.571102800237,0.8230908992760456,Land cover
Casablanca-Settat,0,Stable,1807955.1346094997,89.52354051569014,Land cover
Casablanca-Settat,1,Improved,194952.71521942382,9.653368585033796,Land cover
Dakhla-Oued Eddahab,-1,Degraded,434.7778281249999,0.003364244147328251,Land cover
