region,class_code,class,area_ha,pct,indicator,year
Beni Mellal-Khenifra,0,No drought,393000.2492109806,13.596255137329461,SO3-1 2021,2021
Beni Mellal-Khenifra,1,Mild,2331240.186258028,80.65169531672143,SO3-1 2021,2021
Beni Mellal-Khenifra,2,Moderate,166263.20131529408,5.752049545949113,SO3-1 2021,2021
Casablanca-Settat,0,No drought,5163.414,0.25929161588557986,SO3-1 2021,2021
Casablanca-Settat,1,Mild,1941393.4158399953,97.49112425669875,SO3-1 2021,2021
Casablanca-Settat,2,Moderate,44797.18381176471,2.2495841274156625,SO3-1 2021,2021
Dakhla-Oued Eddahab,0,No drought,5734756.201280779,44.983941400949504,SO3-1 2021,2021
Dakhla-Oued Eddahab,1,Mild,6196561.668252599,48.60638485552199,SO3-1 2021,2021
Dakhla-Oued Eddahab,2,Moderate,559782.4123513725,4.390983391564652,SO3-1 2021,2021
Dakhla-Oued Eddahab,3,Severe,133113.59342901962,1.04415495206989,SO3-1 2021,2021
Dakhla-Oued Eddahab,4,Extreme,124238.17820000002,0.9745353998939588,SO3-1 2021,2021
Daraa-Tafilelt,0,No drought,221336.8587082353,2.728677421867004,SO3-1 2021,2021
Daraa-Tafilelt,1,Mild,4243869.738996089,52.319128434944126,SO3-1 2021,2021
Daraa-Tafilelt,2,Moderate,2591958.7034650976,31.954095824048725,SO3-1 2021,2021
Daraa-Tafilelt,3,Severe,585562.4796792152,7.218911150715093,SO3-1 2021,2021
Daraa-Tafilelt,4,Extreme,468779.1688000002,5.779187168425049,SO3-1 2021,2021
Fes-Meknes,0,No drought,758016.4680729427,19.674881777581703,SO3-1 2021,2021
Fes-Meknes,1,Mild,2916773.6006525396,75.70703036399962,SO3-1 2021,2021
Fes-Meknes,2,Moderate,169946.91850823525,4.411098796592481,SO3-1 2021,2021
Fes-Meknes,3,Severe,7974.691759215686,0.2069890618261942,SO3-1 2021,2021
Guelmim-Oued Noun,0,No drought,719775.5863843121,14.578235957587207,SO3-1 2021,2021
Guelmim-Oued Noun,1,Mild,2740515.2740768613,55.50602030218433,SO3-1 2021,2021
Guelmim-Oued Noun,2,Moderate,1032116.0447623538,20.904336741595795,SO3-1 2021,2021
Guelmim-Oued Noun,3,Severe,235785.29676705878,4.77556304579161,SO3-1 2021,2021
Guelmim-Oued Noun,4,Extreme,209137.58522352955,4.235843952841062,SO3-1 2021,2021
Laayoune-Saguia Hamra,0,No drought,1139318.6412752948,8.296903962197515,SO3-1 2021,2021
Laayoune-Saguia Hamra,1,Mild,6755753.1691983435,49.19768114599495,SO3-1 2021,2021
Laayoune-Saguia Hamra,2,Moderate,3431532.422549018,24.98958054542766,SO3-1 2021,2021
Laayoune-Saguia Hamra,3,Severe,1114172.4881309816,8.113781163975288,SO3-1 2021,2021
Laayoune-Saguia Hamra,4,Extreme,1291076.105711377,9.402053182404591,SO3-1 2021,2021
Marrakech-Safi,0,No drought,2604.7108,0.06512289206201274,SO3-1 2021,2021
Marrakech-Safi,1,Mild,1432994.4522031366,35.82767923267641,SO3-1 2021,2021
