region,class_code,class,area_ha,pct,indicator
Beni Mellal-Khenifra,-1,Degraded,2234467.2901433194,77.3366419573386,Status
Beni Mellal-Khenifra,0,Stable,600735.500534278,20.79192052657086,Status
Beni Mellal-Khenifra,1,Improved,54070.95277757355,1.8714375160905377,Status
Casablanca-Settat,-1,Degraded,1783015.1869272727,89.61235117108635,Status
Casablanca-Settat,0,Stable,200553.42013241968,10.07959082190469,Status
Casablanca-Settat,1,Improved,6129.42410028799,0.3080580070089619,Status
Dakhla-Oued Eddahab,-1,Degraded,4361320.706356591,34.306366931673075,Status
Dakhla-Oued Eddahab,0,Stable,8351357.38971044,65.69219515807849,Status
Dakhla-Oued Eddahab,1,Improved,182.7995296875,0.0014379102484383766,Status
Daraa-Tafilelt,-1,Degraded,1325044.139969452,16.339407279891194,Status
Daraa-Tafilelt,0,Stable,6218681.984542303,76.68391914242288,Status
Daraa-Tafilelt,1,Improved,565773.3039049389,6.976673577685928,Status
Fes-Meknes,-1,Degraded,2703371.804817348,70.42335671914188,Status
Fes-Meknes,0,Stable,1036199.355582025,26.993192989681365,Status
Fes-Meknes,1,Improved,99172.02192118869,2.583450291176763,Status
Guelmim-Oued Noun,-1,Degraded,3378029.4531907565,68.42254635150475,Status
Guelmim-Oued Noun,0,Stable,1551870.0966701023,31.433385970222364,Status
Guelmim-Oued Noun,1,Improved,7112.638836305147,0.14406767827288092,Status
Laayoune-Saguia Hamra,-1,Degraded,4627494.613018042,33.75672925351539,Status
Laayoune-Saguia Hamra,0,Stable,9017554.688093992,65.78141685533507,Status
Laayoune-Saguia Hamra,1,Improved,63312.602866384754,0.4618538911495345,Status
Marrakech-Safi,-1,Degraded,3518493.3364287843,88.10058607129298,Status
Marrakech-Safi,0,Stable,404153.750052144,10.119724222256014,Status
Marrakech-Safi,1,Improved,71075.87647591293,1.7796897064510036,Status
Oriental,-1,Degraded,4790985.035286298,71.92083043748713,Status
Oriental,0,Stable,1776871.391803534,26.673860414487198,Status
Oriental,1,Improved,93614.25691537374,1.4053091480256763,Status
Rabat-Sale-Kenitra,-1,Degraded,1228981.8960531363,73.95720717902547,Status
Rabat-Sale-Kenitra,0,Stable,408934.7412670826,24.608720014280166,Status
Rabat-Sale-Kenitra,1,Improved,23830.666195698534,1.4340728066943584,Status
Souss Massa,-1,Degraded,3525598.188653375,67.6312972239134,Status
Souss Massa,0,Stable,1642059.117481595,31.499502294687957,Status
Souss Massa,1,Improved,45311.1468888419,0.8692004813986339,Status
Tanger-Tetouan-Hoceima,-1,Degraded,681687.8030342286,44.961065924872734,Status
Tanger-Tetouan-Hoceima,0,Stable,760581.2607839898,50.16452407556824,Status
Tanger-Tetouan-Hoceima,1,Improved,73904.51661532464,4.8744099995590195,Status
